date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_MH,snap_KA,snap_TN
2018-02-03,1805,Saturday,1,2,2018,d_29,,,,,1,0,0
2018-02-04,1805,Sunday,2,2,2018,d_30,,,,,1,0,0
2018-02-05,1806,Monday,3,2,2018,d_31,,,,,1,0,0
2018-02-06,1806,Tuesday,4,2,2018,d_32,,,,,1,0,0
2018-02-07,1806,Wednesday,5,2,2018,d_33,,,,,1,0,0
2018-02-08,1806,Thursday,6,2,2018,d_34,,,,,1,1,0
2018-02-09,1806,Friday,7,2,2018,d_35,,,,,1,1,0
2018-02-10,1806,Saturday,1,2,2018,d_36,,,,,1,1,0
2018-02-11,1806,Sunday,2,2,2018,d_37,,,,,0,1,0
2018-02-12,1807,Monday,3,2,2018,d_38,,,,,0,1,0
2018-02-13,1807,Tuesday,4,2,2018,d_39,,,,,0,1,0
2018-02-14,1807,Wednesday,5,2,2018,d_40,,,,,0,1,0
2018-02-15,1807,Thursday,6,2,2018,d_41,,,,,0,1,1
2018-02-16,1807,Friday,7,2,2018,d_42,,,,,0,1,1
2018-02-17,1807,Saturday,1,2,2018,d_43,,,,,0,1,1
2018-02-18,1807,Sunday,2,2,2018,d_44,,,,,0,0,1
2018-02-19,1808,Monday,3,2,2018,d_45,,,,,0,0,1
2018-02-20,1808,Tuesday,4,2,2018,d_46,,,,,0,0,1
2018-02-21,1808,Wednesday,5,2,2018,d_47,,,,,0,0,1
2018-02-22,1808,Thursday,6,2,2018,d_48,,,,,0,0,1
2018-02-23,1808,Friday,7,2,2018,d_49,,,,,0,0,1
2018-02-24,1808,Saturday,1,2,2018,d_50,,,,,0,0,1
2018-02-25,1808,Sunday,2,2,2018,d_51,,,,,0,0,0
2018-02-26,1809,Monday,3,2,2018,d_52,,,,,0,0,0
2018-02-27,1809,Tuesday,4,2,2018,d_53,,,,,0,0,0
2018-02-28,1809,Wednesday,5,2,2018,d_54,,,,,0,0,0
2018-03-01,1809,Thursday,6,3,2018,d_55,,,,,1,0,0
2018-03-02,1809,Friday,7,3,2018,d_56,,,,,1,0,0
2018-03-03,1809,Saturday,1,3,2018,d_57,,,,,1,0,0
2018-03-04,1809,Sunday,2,3,2018,d_58,,,,,1,0,0
2018-03-05,1810,Monday,3,3,2018,d_59,,,,,1,0,0
2018-03-06,1810,Tuesday,4,3,2018,d_60,,,,,1,0,0
2018-03-07,1810,Wednesday,5,3,2018,d_61,,,,,1,0,0
2018-03-08,1810,Thursday,6,3,2018,d_62,Holi,Cultural,,,1,1,0
2018-03-09,1810,Friday,7,3,2018,d_63,,,,,1,1,0
2018-03-10,1810,Saturday,1,3,2018,d_64,,,,,1,1,0
2018-03-11,1810,Sunday,2,3,2018,d_65,,,,,0,1,0
2018-03-12,1811,Monday,3,3,2018,d_66,,,,,0,1,0
2018-03-13,1811,Tuesday,4,3,2018,d_67,,,,,0,1,0
2018-03-14,1811,Wednesday,5,3,2018,d_68,,,,,0,1,0
2018-03-15,1811,Thursday,6,3,2018,d_69,,,,,0,1,1
2018-03-16,1811,Friday,7,3,2018,d_70,,,,,0,1,1
2018-03-17,1811,Saturday,1,3,2018,d_71,,,,,0,1,1
2018-03-18,1811,Sunday,2,3,2018,d_72,,,,,0,0,1
2018-03-19,1812,Monday,3,3,2018,d_73,,,,,0,0,1
2018-03-20,1812,Tuesday,4,3,2018,d_74,,,,,0,0,1
2018-03-21,1812,Wednesday,5,3,2018,d_75,,,,,0,0,1
2018-03-22,1812,Thursday,6,3,2018,d_76,,,,,0,0,1
2018-03-23,1812,Friday,7,3,2018,d_77,,,,,0,0,1
2018-03-24,1812,Saturday,1,3,2018,d_78,,,,,0,0,1
2018-03-25,1812,Sunday,2,3,2018,d_79,,,,,0,0,0
2018-03-26,1813,Monday,3,3,2018,d_80,,,,,0,0,0
2018-03-27,1813,Tuesday,4,3,2018,d_81,,,,,0,0,0
2018-03-28,1813,Wednesday,5,3,2018,d_82,,,,,0,0,0
2018-03-29,1813,Thursday,6,3,2018,d_83,,,,,0,0,0
2018-03-30,1813,Friday,7,3,2018,d_84,,,,,0,0,0
2018-03-31,1813,Saturday,1,3,2018,d_85,,,,,0,0,0
2018-04-01,1813,Sunday,2,4,2018,d_86,,,,,1,0,0
2018-04-02,1814,Monday,3,4,2018,d_87,,,,,1,0,0
2018-04-03,1814,Tuesday,4,4,2018,d_88,,,,,1,0,0
2018-04-04,1814,Wednesday,5,4,2018,d_89,,,,,1,0,0
2018-04-05,1814,Thursday,6,4,2018,d_90,,,,,1,0,0
2018-04-06,1814,Friday,7,4,2018,d_91,,,,,1,0,0
2018-04-07,1814,Saturday,1,4,2018,d_92,,,,,1,0,0
2018-04-08,1814,Sunday,2,4,2018,d_93,,,,,1,1,0
2018-04-09,1815,Monday,3,4,2018,d_94,,,,,1,1,0
2018-04-10,1815,Tuesday,4,4,2018,d_95,Ram_Navami,Religious,,,1,1,0
2018-04-11,1815,Wednesday,5,4,2018,d_96,,,,,0,1,0
2018-04-12,1815,Thursday,6,4,2018,d_97,,,,,0,1,0
2018-04-13,1815,Friday,7,4,2018,d_98,,,,,0,1,0
2018-04-14,1815,Saturday,1,4,2018,d_99,,,,,0,1,0
2018-04-15,1815,Sunday,2,4,2018,d_100,,,,,0,1,1
2018-04-16,1816,Monday,3,4,2018,d_101,,,,,0,1,1
2018-04-17,1816,Tuesday,4,4,2018,d_102,,,,,0,1,1
2018-04-18,1816,Wednesday,5,4,2018,d_103,,,,,0,0,1
2018-04-19,1816,Thursday,6,4,2018,d_104,,,,,0,0,1
2018-04-20,1816,Friday,7,4,2018,d_105,,,,,0,0,1
2018-04-21,1816,Saturday,1,4,2018,d_106,,,,,0,0,1
2018-04-22,1816,Sunday,2,4,2018,d_107,,,,,0,0,1
2018-04-23,1817,Monday,3,4,2018,d_108,,,,,0,0,1
2018-04-24,1817,Tuesday,4,4,2018,d_109,,,,,0,0,1
2018-04-25,1817,Wednesday,5,4,2018,d_110,,,,,0,0,0
2018-04-26,1817,Thursday,6,4,2018,d_111,,,,,0,0,0
2018-04-27,1817,Friday,7,4,2018,d_112,,,,,0,0,0
2018-04-28,1817,Saturday,1,4,2018,d_113,,,,,0,0,0
2018-04-29,1817,Sunday,2,4,2018,d_114,,,,,0,0,0
2018-04-30,1818,Monday,3,4,2018,d_115,,,,,0,0,0
2018-05-01,1818,Tuesday,4,5,2018,d_116,,,,,1,0,0
2018-05-02,1818,Wednesday,5,5,2018,d_117,,,,,1,0,0
2018-05-03,1818,Thursday,6,5,2018,d_118,,,,,1,0,0
2018-05-04,1818,Friday,7,5,2018,d_119,,,,,1,0,0
2018-05-05,1818,Saturday,1,5,2018,d_120,,,,,1,0,0
2018-05-06,1818,Sunday,2,5,2018,d_121,,,,,1,0,0
2018-05-07,1819,Monday,3,5,2018,d_122,,,,,1,0,0
2018-05-08,1819,Tuesday,4,5,2018,d_123,,,,,1,1,0
2018-05-09,1819,Wednesday,5,5,2018,d_124,,,,,1,1,0
2018-05-10,1819,Thursday,6,5,2018,d_125,,,,,1,1,0
2018-05-11,1819,Friday,7,5,2018,d_126,,,,,0,1,0
2018-05-12,1819,Saturday,1,5,2018,d_127,,,,,0,1,0
2018-05-13,1819,Sunday,2,5,2018,d_128,,,,,0,1,0
2018-05-14,1820,Monday,3,5,2018,d_129,,,,,0,1,0
2018-05-15,1820,Tuesday,4,5,2018,d_130,,,,,0,1,1
2018-05-16,1820,Wednesday,5,5,2018,d_131,,,,,0,1,1
2018-05-17,1820,Thursday,6,5,2018,d_132,,,,,0,1,1
2018-05-18,1820,Friday,7,5,2018,d_133,,,,,0,0,1
2018-05-19,1820,Saturday,1,5,2018,d_134,,,,,0,0,1
2018-05-20,1820,Sunday,2,5,2018,d_135,IPL_Final,Sporting,,,0,0,1
2018-05-21,1821,Monday,3,5,2018,d_136,,,,,0,0,1
2018-05-22,1821,Tuesday,4,5,2018,d_137,,,,,0,0,1
2018-05-23,1821,Wednesday,5,5,2018,d_138,,,,,0,0,1
2018-05-24,1821,Thursday,6,5,2018,d_139,,,,,0,0,1
2018-05-25,1821,Friday,7,5,2018,d_140,,,,,0,0,0
2018-05-26,1821,Saturday,1,5,2018,d_141,,,,,0,0,0
2018-05-27,1821,Sunday,2,5,2018,d_142,,,,,0,0,0
2018-05-28,1822,Monday,3,5,2018,d_143,,,,,0,0,0
2018-05-29,1822,Tuesday,4,5,2018,d_144,,,,,0,0,0
2018-05-30,1822,Wednesday,5,5,2018,d_145,,,,,0,0,0
2018-05-31,1822,Thursday,6,5,2018,d_146,,,,,0,0,0
2018-06-01,1822,Friday,7,6,2018,d_147,,,,,1,0,0
2018-06-02,1822,Saturday,1,6,2018,d_148,,,,,1,0,0
2018-06-03,1822,Sunday,2,6,2018,d_149,,,,,1,0,0
2018-06-04,1823,Monday,3,6,2018,d_150,,,,,1,0,0
2018-06-05,1823,Tuesday,4,6,2018,d_151,,,,,1,0,0
2018-06-06,1823,Wednesday,5,6,2018,d_152,,,,,1,0,0
2018-06-07,1823,Thursday,6,6,2018,d_153,,,,,1,0,0
2018-06-08,1823,Friday,7,6,2018,d_154,,,,,1,1,0
2018-06-09,1823,Saturday,1,6,2018,d_155,,,,,1,1,0
2018-06-10,1823,Sunday,2,6,2018,d_156,,,,,1,1,0
2018-06-11,1824,Monday,3,6,2018,d_157,Eid_al_Fitr,Religious,,,0,1,0
2018-06-12,1824,Tuesday,4,6,2018,d_158,,,,,0,1,0
2018-06-13,1824,Wednesday,5,6,2018,d_159,,,,,0,1,0
2018-06-14,1824,Thursday,6,6,2018,d_160,,,,,0,1,0
2018-06-15,1824,Friday,7,6,2018,d_161,,,,,0,1,1
2018-06-16,1824,Saturday,1,6,2018,d_162,,,,,0,1,1
2018-06-17,1824,Sunday,2,6,2018,d_163,,,,,0,1,1
2018-06-18,1825,Monday,3,6,2018,d_164,,,,,0,0,1
2018-06-19,1825,Tuesday,4,6,2018,d_165,,,,,0,0,1
2018-06-20,1825,Wednesday,5,6,2018,d_166,,,,,0,0,1
2018-06-21,1825,Thursday,6,6,2018,d_167,,,,,0,0,1
2018-06-22,1825,Friday,7,6,2018,d_168,,,,,0,0,1
2018-06-23,1825,Saturday,1,6,2018,d_169,,,,,0,0,1
2018-06-24,1825,Sunday,2,6,2018,d_170,,,,,0,0,1
2018-06-25,1826,Monday,3,6,2018,d_171,,,,,0,0,0
2018-06-26,1826,Tuesday,4,6,2018,d_172,,,,,0,0,0
2018-06-27,1826,Wednesday,5,6,2018,d_173,,,,,0,0,0
2018-06-28,1826,Thursday,6,6,2018,d_174,,,,,0,0,0
2018-06-29,1826,Friday,7,6,2018,d_175,,,,,0,0,0
2018-06-30,1826,Saturday,1,6,2018,d_176,,,,,0,0,0
2018-07-01,1826,Sunday,2,7,2018,d_177,,,,,1,0,0
2018-07-02,1827,Monday,3,7,2018,d_178,,,,,1,0,0
2018-07-03,1827,Tuesday,4,7,2018,d_179,,,,,1,0,0
2018-07-04,1827,Wednesday,5,7,2018,d_180,,,,,1,0,0
2018-07-05,1827,Thursday,6,7,2018,d_181,,,,,1,0,0
2018-07-06,1827,Friday,7,7,2018,d_182,,,,,1,0,0
2018-07-07,1827,Saturday,1,7,2018,d_183,,,,,1,0,0
2018-07-08,1827,Sunday,2,7,2018,d_184,,,,,1,1,0
2018-07-09,1828,Monday,3,7,2018,d_185,,,,,1,1,0
2018-07-10,1828,Tuesday,4,7,2018,d_186,,,,,1,1,0
2018-07-11,1828,Wednesday,5,7,2018,d_187,,,,,0,1,0
2018-07-12,1828,Thursday,6,7,2018,d_188,,,,,0,1,0
2018-07-13,1828,Friday,7,7,2018,d_189,,,,,0,1,0
2018-07-14,1828,Saturday,1,7,2018,d_190,,,,,0,1,0
2018-07-15,1828,Sunday,2,7,2018,d_191,,,,,0,1,1
2018-07-16,1829,Monday,3,7,2018,d_192,,,,,0,1,1
2018-07-17,1829,Tuesday,4,7,2018,d_193,,,,,0,1,1
2018-07-18,1829,Wednesday,5,7,2018,d_194,,,,,0,0,1
2018-07-19,1829,Thursday,6,7,2018,d_195,,,,,0,0,1
2018-07-20,1829,Friday,7,7,2018,d_196,,,,,0,0,1
2018-07-21,1829,Saturday,1,7,2018,d_197,,,,,0,0,1
2018-07-22,1829,Sunday,2,7,2018,d_198,,,,,0,0,1
2018-07-23,1830,Monday,3,7,2018,d_199,,,,,0,0,1
2018-07-24,1830,Tuesday,4,7,2018,d_200,,,,,0,0,1
2018-07-25,1830,Wednesday,5,7,2018,d_201,,,,,0,0,0
2018-07-26,1830,Thursday,6,7,2018,d_202,,,,,0,0,0
2018-07-27,1830,Friday,7,7,2018,d_203,,,,,0,0,0
2018-07-28,1830,Saturday,1,7,2018,d_204,,,,,0,0,0
2018-07-29,1830,Sunday,2,7,2018,d_205,,,,,0,0,0
2018-07-30,1831,Monday,3,7,2018,d_206,,,,,0,0,0
2018-07-31,1831,Tuesday,4,7,2018,d_207,,,,,0,0,0
2018-08-01,1831,Wednesday,5,8,2018,d_208,,,,,1,0,0
2018-08-02,1831,Thursday,6,8,2018,d_209,,,,,1,0,0
2018-08-03,1831,Friday,7,8,2018,d_210,,,,,1,0,0
2018-08-04,1831,Saturday,1,8,2018,d_211,,,,,1,0,0
2018-08-05,1831,Sunday,2,8,2018,d_212,,,,,1,0,0
2018-08-06,1832,Monday,3,8,2018,d_213,,,,,1,0,0
2018-08-07,1832,Tuesday,4,8,2018,d_214,,,,,1,0,0
2018-08-08,1832,Wednesday,5,8,2018,d_215,,,,,1,1,0
2018-08-09,1832,Thursday,6,8,2018,d_216,,,,,1,1,0
2018-08-10,1832,Friday,7,8,2018,d_217,,,,,1,1,0
2018-08-11,1832,Saturday,1,8,2018,d_218,,,,,0,1,0
2018-08-12,1832,Sunday,2,8,2018,d_219,,,,,0,1,0
2018-08-13,1833,Monday,3,8,2018,d_220,,,,,0,1,0
2018-08-14,1833,Tuesday,4,8,2018,d_221,,,,,0,1,0
2018-08-15,1833,Wednesday,5,8,2018,d_222,Independence_Day,National,,,0,1,1
2018-08-16,1833,Thursday,6,8,2018,d_223,,,,,0,1,1
2018-08-17,1833,Friday,7,8,2018,d_224,,,,,0,1,1
2018-08-18,1833,Saturday,1,8,2018,d_225,,,,,0,0,1
2018-08-19,1833,Sunday,2,8,2018,d_226,,,,,0,0,1
2018-08-20,1834,Monday,3,8,2018,d_227,,,,,0,0,1
2018-08-21,1834,Tuesday,4,8,2018,d_228,,,,,0,0,1
2018-08-22,1834,Wednesday,5,8,2018,d_229,,,,,0,0,1
2018-08-23,1834,Thursday,6,8,2018,d_230,,,,,0,0,1
2018-08-24,1834,Friday,7,8,2018,d_231,,,,,0,0,1
2018-08-25,1834,Saturday,1,8,2018,d_232,,,,,0,0,0
2018-08-26,1834,Sunday,2,8,2018,d_233,Raksha_Bandhan,Cultural,,,0,0,0
2018-08-27,1835,Monday,3,8,2018,d_234,,,,,0,0,0
2018-08-28,1835,Tuesday,4,8,2018,d_235,,,,,0,0,0
2018-08-29,1835,Wednesday,5,8,2018,d_236,,,,,0,0,0
2018-08-30,1835,Thursday,6,8,2018,d_237,,,,,0,0,0
2018-08-31,1835,Friday,7,8,2018,d_238,,,,,0,0,0
2018-09-01,1835,Saturday,1,9,2018,d_239,,,,,1,0,0
2018-09-02,1835,Sunday,2,9,2018,d_240,,,,,1,0,0
2018-09-03,1836,Monday,3,9,2018,d_241,,,,,1,0,0
2018-09-04,1836,Tuesday,4,9,2018,d_242,,,,,1,0,0
2018-09-05,1836,Wednesday,5,9,2018,d_243,,,,,1,0,0
2018-09-06,1836,Thursday,6,9,2018,d_244,,,,,1,0,0
2018-09-07,1836,Friday,7,9,2018,d_245,Ganesh_Chaturthi,Religious,,,1,0,0
2018-09-08,1836,Saturday,1,9,2018,d_246,,,,,1,1,0
2018-09-09,1836,Sunday,2,9,2018,d_247,,,,,1,1,0
2018-09-10,1837,Monday,3,9,2018,d_248,,,,,1,1,0
2018-09-11,1837,Tuesday,4,9,2018,d_249,,,,,0,1,0
2018-09-12,1837,Wednesday,5,9,2018,d_250,,,,,0,1,0
2018-09-13,1837,Thursday,6,9,2018,d_251,,,,,0,1,0
2018-09-14,1837,Friday,7,9,2018,d_252,,,,,0,1,0
2018-09-15,1837,Saturday,1,9,2018,d_253,,,,,0,1,1
2018-09-16,1837,Sunday,2,9,2018,d_254,,,,,0,1,1
2018-09-17,1838,Monday,3,9,2018,d_255,,,,,0,1,1
2018-09-18,1838,Tuesday,4,9,2018,d_256,,,,,0,0,1
2018-09-19,1838,Wednesday,5,9,2018,d_257,,,,,0,0,1
2018-09-20,1838,Thursday,6,9,2018,d_258,Onam,Cultural,,,0,0,1
2018-09-21,1838,Friday,7,9,2018,d_259,,,,,0,0,1
2018-09-22,1838,Saturday,1,9,2018,d_260,,,,,0,0,1
2018-09-23,1838,Sunday,2,9,2018,d_261,,,,,0,0,1
2018-09-24,1839,Monday,3,9,2018,d_262,,,,,0,0,1
2018-09-25,1839,Tuesday,4,9,2018,d_263,,,,,0,0,0
2018-09-26,1839,Wednesday,5,9,2018,d_264,,,,,0,0,0
2018-09-27,1839,Thursday,6,9,2018,d_265,,,,,0,0,0
2018-09-28,1839,Friday,7,9,2018,d_266,,,,,0,0,0
2018-09-29,1839,Saturday,1,9,2018,d_267,,,,,0,0,0
2018-09-30,1839,Sunday,2,9,2018,d_268,,,,,0,0,0
2018-10-01,1840,Monday,3,10,2018,d_269,,,,,1,0,0
2018-10-02,1840,Tuesday,4,10,2018,d_270,Gandhi_Jayanti,National,,,1,0,0
2018-10-03,1840,Wednesday,5,10,2018,d_271,,,,,1,0,0
2018-10-04,1840,Thursday,6,10,2018,d_272,,,,,1,0,0
2018-10-05,1840,Friday,7,10,2018,d_273,,,,,1,0,0
2018-10-06,1840,Saturday,1,10,2018,d_274,,,,,1,0,0
2018-10-07,1840,Sunday,2,10,2018,d_275,,,,,1,0,0
2018-10-08,1841,Monday,3,10,2018,d_276,,,,,1,1,0
2018-10-09,1841,Tuesday,4,10,2018,d_277,,,,,1,1,0
2018-10-10,1841,Wednesday,5,10,2018,d_278,,,,,1,1,0
2018-10-11,1841,Thursday,6,10,2018,d_279,,,,,0,1,0
2018-10-12,1841,Friday,7,10,2018,d_280,,,,,0,1,0
2018-10-13,1841,Saturday,1,10,2018,d_281,,,,,0,1,0
2018-10-14,1841,Sunday,2,10,2018,d_282,,,,,0,1,0
2018-10-15,1842,Monday,3,10,2018,d_283,Dussehra,Religious,,,0,1,1
2018-10-16,1842,Tuesday,4,10,2018,d_284,,,,,0,1,1
2018-10-17,1842,Wednesday,5,10,2018,d_285,,,,,0,1,1
2018-10-18,1842,Thursday,6,10,2018,d_286,,,,,0,0,1
2018-10-19,1842,Friday,7,10,2018,d_287,,,,,0,0,1
2018-10-20,1842,Saturday,1,10,2018,d_288,,,,,0,0,1
2018-10-21,1842,Sunday,2,10,2018,d_289,,,,,0,0,1
2018-10-22,1843,Monday,3,10,2018,d_290,,,,,0,0,1
2018-10-23,1843,Tuesday,4,10,2018,d_291,,,,,0,0,1
2018-10-24,1843,Wednesday,5,10,2018,d_292,,,,,0,0,1
2018-10-25,1843,Thursday,6,10,2018,d_293,,,,,0,0,0
2018-10-26,1843,Friday,7,10,2018,d_294,,,,,0,0,0
2018-10-27,1843,Saturday,1,10,2018,d_295,,,,,0,0,0
2018-10-28,1843,Sunday,2,10,2018,d_296,,,,,0,0,0
2018-10-29,1844,Monday,3,10,2018,d_297,,,,,0,0,0
2018-10-30,1844,Tuesday,4,10,2018,d_298,,,,,0,0,0
2018-10-31,1844,Wednesday,5,10,2018,d_299,,,,,0,0,0
2018-11-01,1844,Thursday,6,11,2018,d_300,,,,,1,0,0
2018-11-02,1844,Friday,7,11,2018,d_301,,,,,1,0,0
2018-11-03,1844,Saturday,1,11,2018,d_302,,,,,1,0,0
2018-11-04,1844,Sunday,2,11,2018,d_303,Diwali,National,,,1,0,0
2018-11-05,1845,Monday,3,11,2018,d_304,,,,,1,0,0
2018-11-06,1845,Tuesday,4,11,2018,d_305,,,,,1,0,0
2018-11-07,1845,Wednesday,5,11,2018,d_306,,,,,1,0,0
2018-11-08,1845,Thursday,6,11,2018,d_307,,,,,1,1,0
2018-11-09,1845,Friday,7,11,2018,d_308,,,,,1,1,0
2018-11-10,1845,Saturday,1,11,2018,d_309,,,,,1,1,0
2018-11-11,1845,Sunday,2,11,2018,d_310,,,,,0,1,0
2018-11-12,1846,Monday,3,11,2018,d_311,,,,,0,1,0
2018-11-13,1846,Tuesday,4,11,2018,d_312,,,,,0,1,0
2018-11-14,1846,Wednesday,5,11,2018,d_313,,,,,0,1,0
2018-11-15,1846,Thursday,6,11,2018,d_314,,,,,0,1,1
2018-11-16,1846,Friday,7,11,2018,d_315,,,,,0,1,1
2018-11-17,1846,Saturday,1,11,2018,d_316,,,,,0,1,1
2018-11-18,1846,Sunday,2,11,2018,d_317,,,,,0,0,1
2018-11-19,1847,Monday,3,11,2018,d_318,,,,,0,0,1
2018-11-20,1847,Tuesday,4,11,2018,d_319,,,,,0,0,1
2018-11-21,1847,Wednesday,5,11,2018,d_320,,,,,0,0,1
2018-11-22,1847,Thursday,6,11,2018,d_321,,,,,0,0,1
2018-11-23,1847,Friday,7,11,2018,d_322,,,,,0,0,1
2018-11-24,1847,Saturday,1,11,2018,d_323,,,,,0,0,1
2018-11-25,1847,Sunday,2,11,2018,d_324,,,,,0,0,0
2018-11-26,1848,Monday,3,11,2018,d_325,,,,,0,0,0
2018-11-27,1848,Tuesday,4,11,2018,d_326,,,,,0,0,0
2018-11-28,1848,Wednesday,5,11,2018,d_327,,,,,0,0,0
2018-11-29,1848,Thursday,6,11,2018,d_328,,,,,0,0,0
2018-11-30,1848,Friday,7,11,2018,d_329,,,,,0,0,0
2018-12-01,1848,Saturday,1,12,2018,d_330,,,,,1,0,0
2018-12-02,1848,Sunday,2,12,2018,d_331,,,,,1,0,0
2018-12-03,1849,Monday,3,12,2018,d_332,,,,,1,0,0
2018-12-04,1849,Tuesday,4,12,2018,d_333,,,,,1,0,0
2018-12-05,1849,Wednesday,5,12,2018,d_334,,,,,1,0,0
2018-12-06,1849,Thursday,6,12,2018,d_335,,,,,1,0,0
2018-12-07,1849,Friday,7,12,2018,d_336,,,,,1,0,0
2018-12-08,1849,Saturday,1,12,2018,d_337,,,,,1,1,0
2018-12-09,1849,Sunday,2,12,2018,d_338,,,,,1,1,0
2018-12-10,1850,Monday,3,12,2018,d_339,,,,,1,1,0
2018-12-11,1850,Tuesday,4,12,2018,d_340,,,,,0,1,0
2018-12-12,1850,Wednesday,5,12,2018,d_341,,,,,0,1,0
2018-12-13,1850,Thursday,6,12,2018,d_342,,,,,0,1,0
2018-12-14,1850,Friday,7,12,2018,d_343,,,,,0,1,0
2018-12-15,1850,Saturday,1,12,2018,d_344,,,,,0,1,1
2018-12-16,1850,Sunday,2,12,2018,d_345,,,,,0,1,1
2018-12-17,1851,Monday,3,12,2018,d_346,,,,,0,1,1
2018-12-18,1851,Tuesday,4,12,2018,d_347,,,,,0,0,1
2018-12-19,1851,Wednesday,5,12,2018,d_348,,,,,0,0,1
2018-12-20,1851,Thursday,6,12,2018,d_349,,,,,0,0,1
2018-12-21,1851,Friday,7,12,2018,d_350,,,,,0,0,1
2018-12-22,1851,Saturday,1,12,2018,d_351,,,,,0,0,1
2018-12-23,1851,Sunday,2,12,2018,d_352,,,,,0,0,1
2018-12-24,1852,Monday,3,12,2018,d_353,,,,,0,0,1
2018-12-25,1852,Tuesday,4,12,2018,d_354,Christmas,National,,,0,0,0
2018-12-26,1852,Wednesday,5,12,2018,d_355,,,,,0,0,0
2018-12-27,1852,Thursday,6,12,2018,d_356,,,,,0,0,0
2018-12-28,1852,Friday,7,12,2018,d_357,,,,,0,0,0
2018-12-29,1852,Saturday,1,12,2018,d_358,,,,,0,0,0
2018-12-30,1852,Sunday,2,12,2018,d_359,,,,,0,0,0
2018-12-31,1801,Monday,3,12,2018,d_360,,,,,0,0,0
2019-01-01,1901,Tuesday,4,1,2019,d_361,New_Year,National,,,1,0,0
2019-01-02,1901,Wednesday,5,1,2019,d_362,,,,,1,0,0
2019-01-03,1901,Thursday,6,1,2019,d_363,,,,,1,0,0
2019-01-04,1901,Friday,7,1,2019,d_364,,,,,1,0,0
2019-01-05,1901,Saturday,1,1,2019,d_365,,,,,1,0,0
2019-01-06,1901,Sunday,2,1,2019,d_366,,,,,1,0,0
2019-01-07,1902,Monday,3,1,2019,d_367,,,,,1,0,0
2019-01-08,1902,Tuesday,4,1,2019,d_368,,,,,1,1,0
2019-01-09,1902,Wednesday,5,1,2019,d_369,,,,,1,1,0
2019-01-10,1902,Thursday,6,1,2019,d_370,,,,,1,1,0
2019-01-11,1902,Friday,7,1,2019,d_371,,,,,0,1,0
2019-01-12,1902,Saturday,1,1,2019,d_372,,,,,0,1,0
2019-01-13,1902,Sunday,2,1,2019,d_373,,,,,0,1,0
2019-01-14,1903,Monday,3,1,2019,d_374,Pongal,Cultural,,,0,1,0
2019-01-15,1903,Tuesday,4,1,2019,d_375,,,,,0,1,1
2019-01-16,1903,Wednesday,5,1,2019,d_376,,,,,0,1,1
2019-01-17,1903,Thursday,6,1,2019,d_377,,,,,0,1,1
2019-01-18,1903,Friday,7,1,2019,d_378,,,,,0,0,1
2019-01-19,1903,Saturday,1,1,2019,d_379,,,,,0,0,1
2019-01-20,1903,Sunday,2,1,2019,d_380,,,,,0,0,1
2019-01-21,1904,Monday,3,1,2019,d_381,,,,,0,0,1
